위치,경도,위도
석계,127.0657675,37.6150815
태릉입구,127.0750345,37.6179085
화랑대(서울여대입구),127.084244,37.620513
봉화산(서울의료원),127.091296,37.617372
장암,127.052276,37.699655
청량리(서울시립대입구),127.048958,37.581381
외대앞,127.059615,37.595518
신이문,127.067347,37.601829
도봉산,127.0461945,37.689596
수락산,127.055293,37.677881
마들,127.057614,37.665375
노원,127.060551,37.654527
중계,127.063907,37.645494
하계,127.0725939,37.637576
공릉(서울과학기술대),127.072894,37.625787
태릉입구,127.0750345,37.6179085
먹골,127.077707,37.61078
중화,127.079285,37.602572
지평,127.6296807,37.4764956
용문,127.594471,37.482468
원덕,127.547468,37.468585
양평,127.492149,37.492778
오빈,127.474053,37.50606
국수,127.399501,37.516196
신원,127.372745,37.52592
양수,127.328948,37.545998
운길산,127.310089,37.554659
팔당,127.243813,37.547376
도심,127.222798,37.579628
덕소,127.208547,37.587199
양정,127.194602,37.604269
인천,126.616936,37.476364
산본,126.932969,37.358019
대야미,126.91716,37.328304
반월,126.903684,37.312244
상록수,126.8665333,37.3028447
한대앞,126.853656,37.309685
중앙,126.838532,37.316055
고잔,126.823094,37.316821
초지,126.806151,37.320583
안산,126.788748,37.327006
정왕,126.7271088,37.3486016
광명사거리,126.8546747,37.4793066
석계,127.0657675,37.6150815
광운대,127.061817,37.6237325
종합운동장,127.073774,37.511051
봉은사,127.060266,37.514221
삼성중앙,127.0528466,37.5127824
선정릉,127.0438167,37.5102747
언주,127.0344101,37.5073091
신논현,127.02538,37.504724
사평,127.014727,37.504525
고속터미널,127.0049151,37.5049142
신반포,126.996017,37.503487
구반포,126.987427,37.501431
동작(현충원),126.9790995,37.503062
흑석(중앙대입구),126.9634769,37.5090394
노들,126.952213,37.513416
노량진,126.94167,37.514072
샛강,126.928873,37.516737
여의도,126.9243115,37.5215695
국회의사당,126.917853,37.528128
당산,126.9019901,37.5340278
선유도,126.89391,37.537855
신목동,126.883077,37.544267
염창,126.874839,37.546965
등촌,126.8645185,37.551303
증미,126.860606,37.558129
철산,126.8682506,37.4759465
가산디지털단지,126.8825735,37.48089
남구로,126.887272,37.486087
대림(구로구청),126.8957865,37.4930835
신풍,126.908969,37.50013
사릉,127.176839,37.651145
퇴계원,127.143858,37.648316
별내,127.127208,37.64222
갈매,127.1156625,37.6348265
신내,127.1032958,37.6126681
도화,126.6684603,37.4661538
중동,126.764474,37.486664
온수(성공회대입구),126.8236345,37.4921505
도원,126.642824,37.468604
간석,126.693408,37.464689
연신내,126.920842,37.618812
독바위,126.933037,37.618387
불광,126.9298435,37.6105025
역촌,126.9211966,37.607751
응암,126.915592,37.598472
마천,127.15279,37.49502
거여,127.1462058,37.4900434
개롱,127.1346598,37.4981619
오금,127.128354,37.5022335
방이,127.12596,37.508559
올림픽공원(한국체대),127.13109,37.516628
둔촌동,127.136231,37.527657
상일동,127.169184,37.5570545
고덕,127.15411,37.555051
명일,127.144014,37.55131
굽은다리(강동구민회관앞),127.142906,37.545539
길동,127.139992,37.537769
강동,127.132187,37.53594
보라매,126.920282,37.499929
신대방삼거리,126.928189,37.499717
장승배기,126.939191,37.504905
상도,126.9377193,37.4989895
숭실대입구(살피재),126.953504,37.496374
남성,126.970673,37.484876
이수,126.981876,37.486491
내방,126.993598,37.487707
고속터미널,127.0049151,37.5049142
도농,127.161105,37.608756
구리,127.1432928,37.6033064
양원,129.09113,36.963209
망우,127.092882,37.598603
상봉(시외버스터미널),127.0858527,37.5952536
중랑,127.076152,37.594948
회기,127.057977,37.589756
신창(순천향대),126.950129,36.769213
가양,126.854244,37.561553
양천향교,126.841909,37.568105
마곡나루,126.8271565,37.566876
신방화,126.8166665,37.5675046
공항시장,126.8086965,37.5623155
월계,127.058835,37.633114
녹천,127.051406,37.644599
창동,127.0433646,37.648965
방학,127.044295,37.66747
도봉,127.045521,37.679441
도봉산,127.0461945,37.689596
망월사,127.04736,37.710499
회룡,127.0472035,37.724522
의정부,127.0458908,37.7387295
가능,127.044251,37.748362
온양온천,127.0037072,36.7804187
배방,127.052751,36.77754
아산,127.104708,36.793231
반포,127.011847,37.508213
논현,127.021728,37.511206
학동,127.0315341,37.5135304
강남구청,127.0411685,37.517473
청담,127.051937,37.51912
뚝섬유원지,127.066691,37.531537
건대입구,127.069236,37.540389
어린이대공원(세종대),127.074593,37.547905
군자(능동),127.079578,37.55737
중곡,127.084086,37.565535
용마산,127.086818,37.573793
사가정,127.088503,37.580966
면목,127.087494,37.588745
상봉(시외버스터미널),127.0858527,37.5952536
녹양,127.042272,37.759416
양주,127.044782,37.773956
덕계,127.056676,37.81876
덕정,127.061511,37.843216
지행,127.055734,37.892361
동두천중앙,127.056409,37.901673
보산,127.057134,37.914268
동두천,127.054992,37.926664
소요산,127.060681,37.947099
서울역,126.9696195,37.5536067
신촌,126.942308,37.559768
효창공원앞,126.961339,37.539289
공덕,126.951576,37.54322
서강대,126.935389,37.552132
홍대입구,126.9244669,37.557527
가좌,126.914841,37.56861
디지털미디어시티,126.9004205,37.5779636
수색,126.8955434,37.5840042
화전,126.867937,37.60327
강매,126.8454369,37.6125959
행신,126.834059,37.611846
능곡,126.820845,37.618741
곡산,126.8017,37.645892
백마,126.7944,37.658346
풍산,126.786355,37.672173
일산,126.77004,37.681997
탄현,126.761161,37.693882
오이도,126.738626,37.362241
수리산,126.925537,37.350297
북한산우이,127.012778,37.6629
솔밭공원,127.013259,37.656039
야당,126.7615354,37.7127491
운정,126.767152,37.725402
금릉,126.765664,37.751265
천호(풍납토성),127.1233835,37.538289
광나루(장신대),127.103585,37.545383
아차산(어린이대공원후문),127.090073,37.551204
군자(능동),127.079578,37.55737
장한평,127.064657,37.561472
답십리,127.052382,37.567072
마장,127.042965,37.566127
왕십리(성동구청),127.035505,37.5611284
행당,127.029637,37.557402
신금호,127.020794,37.554468
청구,127.0131005,37.5591145
동대문역사문화공원,127.007765,37.565102
을지로4가,126.9978305,37.5670145
종로3가,126.9912475,37.5715
광화문(세종문화회관),126.9756429,37.5725254
서대문,126.96665,37.56577
충정로(경기대입구),126.963672,37.560055
애오개,126.956739,37.55359
공덕,126.951576,37.54322
마포,126.94604,37.539705
여의나루,126.93281,37.527141
여의도,126.9243115,37.5215695
신길,126.9164095,37.517346
영등포시장,126.9049865,37.521638
영등포구청,126.8959946,37.5248203
양평,127.492149,37.492778
오목교(목동운동장앞),126.87505,37.524553
목동,126.864301,37.526072
신정(은행정),126.856164,37.524977
금촌,126.774515,37.766106
월롱,126.792602,37.795549
파주,126.792426,37.81539
문산,126.7875312,37.8545648
서울역,126.9696195,37.5536067
공덕,126.951576,37.54322
홍대입구,126.9244669,37.557527
김포공항,126.8019274,37.5618288
계양,126.7363805,37.571594
검암,126.6736077,37.5692314
개봉,126.858504,37.494698
오류동,126.844551,37.4944
역곡,126.8116223,37.4851398
부천,126.7827787,37.4840664
송내,126.753045,37.487626
부평,126.7236421,37.4903861
백운,126.707179,37.483301
동암,126.702884,37.470869
주안,126.6807024,37.4650414
제물포,126.657165,37.466809
동인천,126.632598,37.475414
인천,126.616936,37.476364
구일,126.869599,37.496273
소사,126.795654,37.482755
부개,126.740549,37.488479
쌍용(나사렛대),127.121363,36.793745
봉명,127.136319,36.801578
대화,126.7477558,37.6758831
주엽,126.7611005,37.670186
정발산,126.7732889,37.6596496
아신,127.443096,37.513498
마두,126.777641,37.652185
백석,126.788109,37.642973
대곡,126.8102965,37.631957
화정,126.832645,37.63459
원당,126.843006,37.653328
삼송,126.895559,37.653096
원흥,126.873239,37.650709
신설동,127.0248495,37.575326
보문,127.0227704,37.5803121
성신여대입구(돈암),127.016544,37.59272
정릉,127.013642,37.605726
북한산보국문,127.008244,37.61211
솔샘,127.01363,37.620515
삼양사거리,127.020434,37.621391
삼양,127.018166,37.627026
화계,127.017525,37.634177
가오리,127.01678,37.641601
까치산,126.8467055,37.5317675
화곡,126.840436,37.541578
우장산,126.836334,37.548783
발산,126.837595,37.558683
마곡,126.826919,37.5619185
송정,129.202405,35.187583
김포공항,126.8019274,37.5618288
개화산,126.806839,37.572455
방화,126.813873,37.5764563
사당,126.981633,37.476559
총신대입구(이수),126.981876,37.486491
동작(현충원),126.9790995,37.503062
이촌(국립중앙박물관),126.9738155,37.5224761
신용산,126.967886,37.529187
삼각지,126.9734515,37.5350315
숙대입구(갈월),126.971987,37.545097
서울역,126.9696195,37.5536067
회현(남대문시장),126.9707878,37.5547125
명동,126.9861868,37.5609892
충무로,126.9935287,37.5609739
동대문역사문화공원,127.007765,37.565102
동대문,127.008785,37.570999
혜화,127.001892,37.58208
한성대입구(삼선교),127.005907,37.588374
성신여대입구(돈암),127.016544,37.59272
길음,127.024914,37.603185
미아사거리,127.030084,37.613251
미아(서울사이버대학),127.026132,37.626394
수유(강북구청),127.02562,37.637979
쌍문,127.0304855,37.6522545
남태령,126.989097,37.464237
창동,127.0433646,37.648965
노원,127.060551,37.654527
상계,127.073202,37.660566
당고개,127.079011,37.67026
오금,127.128354,37.5022335
경찰병원,127.12419,37.495694
가락시장,127.118104,37.4923175
수서,127.1013245,37.4874685
일원,127.084032,37.483869
대청,127.079526,37.493601
학여울,127.070549,37.496683
대치,127.063446,37.494569
도곡,127.0556945,37.49106
매봉,127.046918,37.487035
양재(서초구청),127.034369,37.484102
남부터미널(예술의전당),127.016274,37.48491
교대(법원.검찰청),127.0142285,37.4934705
고속터미널,127.0049151,37.5049142
잠원,127.011611,37.51296
신사,127.022883,37.524124
압구정,127.0302926,37.531684
옥수,127.018698,37.540514
금호,127.015789,37.54826
약수,127.010444,37.554431
동대입구,127.005316,37.558126
충무로,126.9935287,37.5609739
을지로3가,126.9917735,37.566286
종로3가,126.9912475,37.5715
안국,126.985472,37.576556
경복궁(정부서울청사),126.97358,37.575838
독립문,126.957918,37.574453
무악재,126.950134,37.582634
홍제,126.944094,37.588792
녹번,126.935761,37.600869
불광,126.9298435,37.6105025
연신내,126.920842,37.618812
구파발,126.918833,37.636581
지축,126.913746,37.648114
용두(동대문구청),127.038653,37.573927
신정네거리,126.852796,37.520209
양천구청,126.865633,37.512322
도림천,126.882624,37.51446
신설동,127.0248495,37.575326
신답,127.04701,37.569889
용답,127.050835,37.56217
충정로(경기대입구),126.963672,37.560055
아현,126.956083,37.557382
이대,126.945857,37.556761
신촌,126.942308,37.559768
홍대입구,126.9244669,37.557527
합정,126.9101219,37.5463089
당산,126.9019901,37.5340278
영등포구청,126.8959946,37.5248203
문래,126.894808,37.517989
신도림,126.891336,37.508562
대림(구로구청),126.8957865,37.4930835
구로디지털단지,126.901472,37.48525
신대방,126.913282,37.487519
신림,126.9383251,37.4626176
봉천,126.941574,37.482476
서울대입구(관악구청),126.952712,37.48121
낙성대,126.963418,37.477117
사당,126.981633,37.476559
방배,126.997638,37.481512
서초,127.007688,37.49184
교대(법원.검찰청),127.0142285,37.4934705
강남,127.027621,37.497942
역삼,127.036087,37.500326
선릉,127.048941,37.504479
삼성(무역센터),127.063149,37.508861
종합운동장,127.073774,37.511051
잠실새내,127.085585,37.511624
잠실(송파구청),127.1001336,37.5132612
잠실나루,127.103822,37.520661
강변(동서울터미널),127.094672,37.535144
구의(광진구청),127.0852645,37.5368933
건대입구,127.069236,37.540389
성수,127.055957,37.544603
뚝섬,127.04731,37.54724
한양대,127.0436832,37.5556003
왕십리(성동구청),127.035505,37.5611284
상왕십리,127.028872,37.5645
신당,127.019468,37.565671
동대문역사문화공원,127.007765,37.565102
을지로4가,126.9978305,37.5670145
을지로3가,126.9917735,37.566286
을지로입구,126.982662,37.566056
시청,126.9768616,37.5657037
동묘앞,127.016008,37.572729
청량리(서울시립대입구),127.048958,37.581381
제기동,127.034895,37.578162
신설동,127.0248495,37.575326
동대문,127.008785,37.570999
종로5가,127.001921,37.570988
종로3가,126.9912475,37.5715
종각,126.983099,37.570169
시청,126.9768616,37.5657037
서울역,126.9696195,37.5536067
김유정,127.714302,37.818475
남춘천,127.723761,37.864071
춘천,127.7169845,37.8849671
서울역,126.9696195,37.5536067
공덕,126.951576,37.54322
홍대입구,126.9244669,37.557527
디지털미디어시티,126.9004205,37.5779636
김포공항,126.8019274,37.5618288
계양,126.7363805,37.571594
4.19민주묘지,127.013701,37.649556
검암,126.6736077,37.5692314
청라국제도시,126.6245342,37.5563477
운서,126.493844,37.492764
공항화물청사,126.477492,37.459049
인천공항1터미널,126.4524015,37.4475135
영종,126.52436,37.51213
구산,126.917879,37.610725
새절(신사),126.913582,37.591014
증산(명지대앞),126.909686,37.583933
디지털미디어시티,126.9004205,37.5779636
선바위,127.002164,37.451854
월드컵경기장(성산),126.899058,37.569656
마포구청,126.903472,37.563418
망원,126.9012821,37.5559772
합정,126.9101219,37.5463089
상수,126.9244174,37.5454728
광흥창(서강),126.931855,37.547478
대흥(서강대앞),126.942332,37.547674
공덕,126.951576,37.54322
이매,127.128272,37.395846
삼동,127.203607,37.408566
경기광주,127.252369,37.398666
초월,127.299996,37.373389
곤지암,127.341839,37.3499838
신둔도예촌,127.404609,37.315656
이천,127.442135,37.264222
부발,127.4903676,37.2598735
세종대왕릉,127.570749,37.294217
여주,127.628612,37.282248
서울역,126.9696195,37.5536067
남영,126.971171,37.540597
용산,126.964775,37.52989
노량진,126.94167,37.514072
대방,126.9263997,37.5125603
강촌,127.63478,37.81829
천왕,126.838681,37.486686
온수(성공회대입구),126.8236345,37.4921505
까치울,126.8113591,37.5062327
부천종합운동장,126.797498,37.505452
춘의,126.787079,37.50371
신중동,126.77596,37.503052
부천시청,126.763602,37.504669
상동,126.753147,37.505802
삼산체육관,126.742024,37.506483
굴포천,126.725813,37.508231
부평구청,126.72091,37.508073
암사,127.1304539,37.558248
영등포,126.9071288,37.5154133
신도림,126.891336,37.508562
신길,126.9164095,37.517346
구로,126.8820367,37.5031784
가산디지털단지,126.8825735,37.48089
금천구청,126.894003,37.455645
석수,126.902233,37.435161
관악,126.908476,37.419578
안양,126.9220496,37.4026846
명학,126.9305068,37.3900837
금정,126.9434895,37.372237
군포,126.948517,37.353732
효창공원앞,126.961339,37.539289
삼각지,126.9734515,37.5350315
녹사평(용산구청),126.9853515,37.534945
이태원,126.994579,37.534533
한강진,127.001736,37.539518
버티고개,127.0071227,37.5478919
약수,127.010444,37.554431
청구,127.0131005,37.5591145
신당,127.019468,37.565671
동묘앞,127.016008,37.572729
창신,127.015281,37.579361
보문,127.0227704,37.5803121
안암(고대병원앞),127.0268837,37.5870127
고려대(종암),127.035859,37.590401
월곡(동덕여대),127.04153,37.601925
상월곡(한국과학기술연구원),127.048862,37.6066
경마공원,127.007899,37.443987
대공원,127.006474,37.435724
과천,126.996404,37.433205
정부과천청사,126.9898051,37.426119
인덕원,126.976384,37.400807
평촌,126.96388,37.394346
범계,126.950627,37.389854
선릉,127.048941,37.504479
한티,127.052883,37.496208
도곡,127.0556945,37.49106
구룡,127.059496,37.486985
개포동,127.066502,37.489167
대모산입구,127.072702,37.491347
수서,127.1013245,37.4874685
복정,127.126685,37.470375
수원,126.9994077,37.2664398
서울숲,127.0384781,37.5450111
압구정로데오,127.040555,37.527385
강남구청,127.0411685,37.517473
선정릉,127.0438167,37.5102747
가천대,127.126635,37.449602
태평,127.128035,37.439854
모란,127.129064,37.432124
야탑,127.128661,37.41132
서현,127.123249,37.384931
수내,127.114216,37.378435
정자,127.1163207,37.3638388
미금,127.108952,37.350078
의왕,126.948099,37.320648
성균관대,126.97086,37.300344
화서,126.989581,37.28399
수원,126.9994077,37.2664398
독산,126.8895083,37.4659942
세류,127.0137721,37.2441023
병점,127.033268,37.206821
세마,127.043279,37.187288
오산대,127.0600685,37.1703135
오산,127.067125,37.14581
판교,127.111135,37.394798
진위,127.062342,37.109771
송탄,127.054377,37.075533
서정리,127.053294,37.057003
지제,127.070269,37.018822
평택,127.084981,36.991145
성환,127.126936,36.916675
직산,127.143774,36.870921
두정,127.148905,36.833791
천안,127.146561,36.809084
당정,126.948388,37.34338
서동탄,127.051893,37.195675
광명,126.884789,37.416522
이촌(국립중앙박물관),126.9738155,37.5224761
서빙고,126.988358,37.51961
한남,127.008984,37.529361
옥수,127.018698,37.540514
응봉,127.0348241,37.5504328
왕십리(성동구청),127.035505,37.5611284
오리,127.108985,37.339832
이매,127.128272,37.395846
보정,127.108219,37.31274
죽전,127.1264906,37.3290605
구성,127.105664,37.299013
신갈,127.111311,37.286127
기흥,127.115944,37.275657
상갈,127.108718,37.261797
청명,127.0790738,37.2595832
영통,127.07134,37.251521
망포,127.0573667,37.2457927
매탄권선,127.040459,37.252951
신길온천,126.767306,37.337488
수원시청,127.030736,37.261941
매교,127.015657,37.265502
달월,126.745431,37.379993
월곶,126.742693,37.391813
천호(풍납토성),127.1233835,37.538289
강동구청,127.120535,37.53051
몽촌토성(평화의문),127.11274,37.517641
잠실(송파구청),127.1001336,37.5132612
석촌,127.106981,37.505438
송파,127.112201,37.499739
가락시장,127.118104,37.4923175
문정,127.1224677,37.4859861
장지,127.126274,37.477699
복정,127.126685,37.470375
산성,127.150057,37.456639
남한산성입구(성남법원.검찰청),127.159821,37.451541
단대오거리,127.156709,37.44505
신흥,127.147493,37.440949
수진,127.1410201,37.4376114
모란,127.129064,37.432124
개화,126.797391,37.578576
김포공항,126.8019274,37.5618288
백양리,127.6124,37.827688
굴봉산,127.557732,37.832086
가평,127.510693,37.814515
상천,127.4542002,37.770405
청평,127.426526,37.735922
대성리,127.376729,37.6805595
마석,127.31168,37.652797
천마산,127.2857308,37.6589954
평내호평,127.244452,37.653229
금곡,127.207931,37.637414
소래포구,126.733533,37.400963
인천논현,126.722495,37.400641
호구포,126.708682,37.401622
남동인더스파크,126.695235,37.407772
원인재,126.6871295,37.412757
연수,126.678473,37.41736
송도,126.654485,37.429714
인하대,126.649832,37.448191
숭의,126.638083,37.460889
신포,126.624509,37.468442
돌곶이,127.056403,37.610493
