"메인 키","기관 코드","유형1","유형2","대표기관명","전체기관명","최하위기관명","대표 전화번호","새 우편번호","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST32-0183","1334818","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울송파경찰서 풍납파출소","풍납파출소","02-3402-6308","05520","","서울특별시 송파구 토성로 64 (풍납동)","서울특별시","송파구","풍납2동"
"BE_LiST32-0133","1334826","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울방배경찰서 이수파출소","이수파출소","02-599-3880","06557","","서울특별시 서초구 동광로19길 38 (방배동)","서울특별시","서초구","방배본동"
"BE_LiST32-0134","1329309","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서","서울서대문경찰서","182","03738","","서울특별시 서대문구 통일로 113 (미근동)","서울특별시","서대문구","충현동"
"BE_LiST32-0135","1334734","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 남가좌파출소","남가좌파출소","02-335-8305","03692","","서울특별시 서대문구 가재울로4길 51 (남가좌동)","서울특별시","서대문구","남가좌2동"
"BE_LiST32-0136","1334735","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 북가좌파출소","북가좌파출소","02-335-8306","03677","","서울특별시 서대문구 증가로 244 (북가좌동)","서울특별시","서대문구","북가좌2동"
"BE_LiST32-0137","1331395","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 신촌지구대","신촌지구대","02-335-8302","03766","","서울특별시 서대문구 신촌역로 22 (대현동)","서울특별시","서대문구","신촌동"
"BE_LiST32-0138","1334736","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 연희파출소","연희파출소","02-335-8304","03699","","서울특별시 서대문구 연희로25길 73 (연희동)","서울특별시","서대문구","연희동"
"BE_LiST32-0139","1331394","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 충정로지구대","충정로지구대","02-335-8301","03734","","서울특별시 서대문구 독립문로 25-1 (옥천동)","서울특별시","서대문구","천연동"
"BE_LiST32-0140","1334737","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 홍은2파출소","홍은2파출소","02-335-8308","03653","","서울특별시 서대문구 연희로 298 (홍은동)","서울특별시","서대문구","홍은2동"
"BE_LiST32-0141","1335592","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 홍은파출소","홍은파출소","02-335-8303","03611","","서울특별시 서대문구 세검정로1길 112","서울특별시","서대문구","홍은1동"
"BE_LiST32-0142","1334238","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 홍제파출소","홍제파출소","02-335-8307","03639","","서울특별시 서대문구 통일로 441-1 (홍제동)","서울특별시","서대문구","홍제1동"
"BE_LiST32-0143","1329564","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울서부경찰서","서울서부경찰서","182","03458","","서울특별시 은평구 은평로9길 15 (녹번동)","서울특별시","은평구","녹번동"
"BE_LiST32-0144","1334777","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서부경찰서 녹번파출소","녹번파출소","02-355-7112","03371","","서울특별시 은평구 진흥로 200 (녹번동)","서울특별시","은평구","녹번동"
"BE_LiST32-0145","1332661","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서부경찰서 신사지구대","신사지구대","02-303-4403","03446","","서울특별시 은평구 은평터널로5길 6 (신사동)","서울특별시","은평구","신사2동"
"BE_LiST32-0146","1334778","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서부경찰서 응암3파출소","응암3파출소","02-302-0214","03467","","서울특별시 은평구 응암로 208 (응암동)","서울특별시","은평구","응암3동"
"BE_LiST32-0147","1331442","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서부경찰서 응암지구대","응암지구대","02-352-4289","03460","","서울특별시 은평구 은평로 171 (응암동)","서울특별시","은평구","응암1동"
"BE_LiST32-0148","1329813","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서","서울서초경찰서","182","06590","","서울특별시 서초구 반포대로 179 (서초동)","서울특별시","서초구","서초3동"
"BE_LiST32-0149","1332883","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 내곡파출소","내곡파출소","02-573-5826","06793","","서울특별시 서초구 염곡말길 9 (염곡동)","서울특별시","서초구","내곡동"
"BE_LiST32-0150","1331497","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 반포지구대","반포지구대","02-536-8477","06545","","서울특별시 서초구 신반포로 190 (반포동)","서울특별시","서초구","반포4동"
"BE_LiST32-0151","1334814","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 서초2파출소","서초2파출소","02-581-1120","06629","","서울특별시 서초구 효령로77길 37 (서초동)","서울특별시","서초구","서초2동"
"BE_LiST32-0152","1334813","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 서초3파출소","서초3파출소","02-582-2120","06646","","서울특별시 서초구 반포대로30길 40 (서초동)","서울특별시","서초구","서초3동"
"BE_LiST32-0153","1334812","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 서초파출소","서초파출소","02-583-6249","06643","","서울특별시 서초구 효령로 297 (서초동)","서울특별시","서초구","서초1동"
"BE_LiST32-0154","1334810","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 양재파출소","양재파출소","02-572-0692","06738","","서울특별시 서초구 남부순환로356길 9 (양재동)","서울특별시","서초구","양재1동"
"BE_LiST32-0155","1334811","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서초경찰서 우면파출소","우면파출소","02-572-0113","06762","","서울특별시 서초구 바우뫼로 45 (우면동)","서울특별시","서초구","양재1동"
"BE_LiST32-0156","1329479","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울성동경찰서","서울성동경찰서","182","04750","","서울특별시 성동구 왕십리광장로 9 (행당동)","서울특별시","성동구","행당1동"
"BE_LiST32-0157","1334770","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울성동경찰서 금호파출소","금호파출소","02-2231-6253","04723","","서울특별시 성동구 금호로11길 2-1 (금호동2가)","서울특별시","성동구","금호2.3가동"
"BE_LiST32-0184","1329960","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서","서울수서경찰서","182","06336","","서울특별시 강남구 개포로 617 (개포동)","서울특별시","강남구","일원2동"
"BE_LiST32-0185","1334837","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서 개포파출소","개포파출소","02-571-0112","06306","","서울특별시 강남구 개포로 261 (개포동)","서울특별시","강남구","개포4동"
"BE_LiST32-0186","1329981","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서 대왕파출소","대왕파출소","02-3411-0323","06376","","서울특별시 강남구 헌릉로 623 (세곡동)","서울특별시","강남구","세곡동"
"BE_LiST32-0187","1332697","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서 대치지구대","대치지구대","02-538-1312","06281","","서울특별시 강남구 남부순환로 2907 (대치동)","서울특별시","강남구","대치1동"
"BE_LiST32-0188","1332696","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서 도곡지구대","도곡지구대","02-568-2522","06297","","서울특별시 강남구 남부순환로378길 29 (도곡동)","서울특별시","강남구","도곡2동"
"BE_LiST32-0189","1332698","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서 수서파출소","수서파출소","02-445-0112","06349","","서울특별시 강남구 밤고개로1길 48 (수서동)","서울특별시","강남구","수서동"
"BE_LiST32-0190","1334836","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울수서경찰서 일원파출소","일원파출소","02-3411-0112","06338","","서울특별시 강남구 일원로3길 35 (일원동)","서울특별시","강남구","일원1동"
"BE_LiST32-0191","1329834","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서","서울양천경찰서","182","08095","","서울특별시 양천구 목동동로 99 (신정동)","서울특별시","양천구","신정6동"
"BE_LiST32-0192","1331499","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 목1지구대","목1지구대","02-2648-0040","07983","","서울특별시 양천구 목동동로 373 (목동)","서울특별시","양천구","목5동"
"BE_LiST32-0193","1331502","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 목2지구대","목2지구대","02-2652-0112","07951","","서울특별시 양천구 등촌로 166 (목동)","서울특별시","양천구","목3동"
"BE_LiST32-0194","1334815","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 신월1파출소","신월1파출소","02-2602-0092","07921","","서울특별시 양천구 남부순환로59길 8 (신월동)","서울특별시","양천구","신월1동"
"BE_LiST32-0195","1331500","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 신월2지구대","신월2지구대","02-2608-0112","08038","","서울특별시 양천구 지양로 55 (신월동)","서울특별시","양천구","신월7동"
"BE_LiST32-0196","1334816","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 신월5파출소","신월5파출소","02-2693-0113","07904","","서울특별시 양천구 남부순환로31길 37 (신월동)","서울특별시","양천구","신월5동"
"BE_LiST32-0197","1331501","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 신정1지구대","신정1지구대","02-2643-0113","08087","","서울특별시 양천구 중앙로32길 65 (신정동)","서울특별시","양천구","신정1동"
"BE_LiST32-0198","1331503","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 신정2지구대","신정2지구대","02-2699-0678","08103","","서울특별시 양천구 목동로 17 (신정동)","서울특별시","양천구","신정7동"
"BE_LiST32-0199","1332884","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울양천경찰서 신정3파출소","신정3파출소","02-2696-2305","08078","","서울특별시 양천구 중앙로 205 (신정동)","서울특별시","양천구","신정3동"
"BE_LiST32-0200","1329457","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서","서울영등포경찰서","182","07258","","서울특별시 영등포구 국회대로 608 (당산동3가)","서울특별시","영등포구","당산1동"
"BE_LiST32-0201","1335189","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 당산파출소","당산파출소","02-2633-3874","07213","","서울특별시 영등포구 당산로 221 (당산동5가)","서울특별시","영등포구","당산2동"
"BE_LiST32-0202","1334762","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 대림3파출소","대림3파출소","02-848-1918","07412","","서울특별시 영등포구 대림로 197 (대림동)","서울특별시","영등포구","대림3동"
"BE_LiST32-0203","1334761","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 대림파출소","대림파출소","02-847-0112","07417","","서울특별시 영등포구 대림로23길 16-1 (대림동)","서울특별시","영등포구","대림2동"
"BE_LiST32-0204","1331424","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 문래지구대","문래지구대","02-2633-5060","07299","","서울특별시 영등포구 경인로 759 (문래동3가)","서울특별시","영등포구","문래동"
"BE_LiST32-0205","1332631","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 신길지구대","신길지구대","02-842-3386","07315","","서울특별시 영등포구 신길로60다길 16 (신길동)","서울특별시","영등포구","영등포본동"
"BE_LiST32-0206","1332630","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 신풍지구대","신풍지구대","02-833-2070","07430","","서울특별시 영등포구 대방천로 195 (신길동)","서울특별시","영등포구","신길6동"
"BE_LiST32-0207","1335190","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 양평파출소","양평파출소","02-2635-6398","07272","","서울특별시 영등포구 선유로 95","서울특별시","영등포구","양평1동"
"BE_LiST32-0208","1332351","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 여의도지구대","여의도지구대","02-784-0112","07243","","서울특별시 영등포구 여의공원로 120","서울특별시","영등포구","여의동"
"BE_LiST32-0236","1331388","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울종로경찰서 청운파출소","청운파출소","02-732-1055","03047","","서울특별시 종로구 자하문로 92 (궁정동)","서울특별시","종로구","청운효자동"
"BE_LiST32-0237","1334235","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울종로경찰서 청진파출소","청진파출소","02-732-1114","03153","","서울특별시 종로구 삼봉로 33 (수송동)","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST32-0238","1331387","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울종로경찰서 통의파출소","통의파출소","02-732-1045","03044","","서울특별시 종로구 효자로 9 (통의동)","서울특별시","종로구","사직동"
"BE_LiST32-0239","1334731","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울종로경찰서 평창파출소","평창파출소","02-379-6356","03011","","서울특별시 종로구 평창문화로 46 (평창동)","서울특별시","종로구","평창동"
"BE_LiST32-0240","1329768","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울종암경찰서","서울종암경찰서","182","02803","","서울특별시 성북구 종암로 135 (종암동)","서울특별시","성북구","종암동"
"BE_LiST32-0241","1335595","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울종암경찰서 석관파출소","석관파출소","02-960-3094","02790","","서울특별시 성북구 화랑로32가길 20 (석관동)","서울특별시","성북구","석관동"
"BE_LiST32-0242","1335586","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울종암경찰서 월곡지구대","월곡지구대","02-919-9696","02739","","서울특별시 성북구 종암로32길 5 (하월곡동)","서울특별시","성북구","월곡1동"
"BE_LiST32-0243","1331486","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울종암경찰서 장위지구대","장위지구대","02-919-9438","02769","","서울특별시 성북구 화랑로19길 85 (장위동)","서울특별시","성북구","장위2동"
"BE_LiST32-0244","1334807","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울종암경찰서 종암파출소","종암파출소","02-925-0680","02803","","서울특별시 성북구 종암로23길 52 (종암동)","서울특별시","성북구","종암동"
"BE_LiST32-0245","1329641","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서","서울중랑경찰서","182","02055","","서울특별시 중랑구 신내역로3길 40-10 (신내동)","서울특별시","중랑구","신내1동"
"BE_LiST32-0246","1332357","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 망우지구대","망우지구대","02-434-8608","02086","","서울특별시 중랑구 망우로 391 (망우동)","서울특별시","중랑구","망우본동"
"BE_LiST32-0247","1334789","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 먹골파출소","먹골파출소","02-973-4702","02031","","서울특별시 중랑구 숙선옹주로7길 1 (묵동)","서울특별시","중랑구","묵1동"
"BE_LiST32-0248","1334243","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 면목본동파출소","면목본동파출소","02-434-0469","02202","","서울특별시 중랑구 상봉로 27 (면목동)","서울특별시","중랑구","면목본동"
"BE_LiST32-0249","1334244","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 면목삼팔파출소","면목삼팔파출소","02-435-9438","02222","","서울특별시 중랑구 사가정로41길 45 (면목동)","서울특별시","중랑구","면목제3.8동"
"BE_LiST32-0250","1332387","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 봉화지구대","봉화지구대","02-3422-0018","02024","","서울특별시 중랑구 신내로 177 (신내동)","서울특별시","중랑구","신내2동"
"BE_LiST32-0251","1334787","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 상봉파출소","상봉파출소","02-433-1675","02118","","서울특별시 중랑구 중랑천로 69 (면목동)","서울특별시","중랑구","면목2동"
"BE_LiST32-0252","1332358","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 용마지구대","용마지구대","02-434-3007","02236","","서울특별시 중랑구 동일로 566 (면목동)","서울특별시","중랑구","면목5동"
"BE_LiST32-0253","1335585","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중랑경찰서 중화지구대","중화지구대","02-434-8768","02113","","서울특별시 중랑구 중랑천로 146 (중화동)","서울특별시","중랑구","중화2동"
"BE_LiST32-0254","1329261","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서","서울중부경찰서","182","04552","","서울특별시 중구 수표로 27 (저동2가)","서울특별시","중구","을지로동"
"BE_LiST32-0255","1334232","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서 광희지구대","광희지구대","02-2233-1444","04566","","서울특별시 중구 퇴계로 375-1 (신당동)","서울특별시","중구","신당동"
"BE_LiST32-0256","1334233","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서 신당파출소","신당파출소","02-2252-0435","04577","","서울특별시 중구 다산로 248 (신당동)","서울특별시","중구","신당5동"
"BE_LiST32-0257","1332612","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서 약수지구대","약수지구대","02-2234-8112","04596","","서울특별시 중구 동호로5길 15 (신당동)","서울특별시","중구","약수동"
"BE_LiST32-0258","1335003","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서 을지로3가파출소","을지로3가파출소","02-2266-2404","04549","","서울특별시 중구 충무로 56-1 (을지로3가)","서울특별시","중구","을지로동"
"BE_LiST32-0259","1331383","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서 을지지구대","을지지구대","02-2279-1908","04561","","서울특별시 중구 을지로 234 (을지로5가)","서울특별시","중구","을지로동"
"BE_LiST32-0260","1334234","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울중부경찰서 장충파출소","장충파출소","02-2274-9003","04620","","서울특별시 중구 동호로 261 (장충동2가)","서울특별시","중구","장충동"
"BE_LiST32-0131","1334827","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울방배경찰서 방배1파출소","방배1파출소","02-583-7694","06665","","서울특별시 서초구 방배로16길 16-8 (방배동)","서울특별시","서초구","방배1동"
"BE_LiST32-0132","1335593","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울방배경찰서 서래파출소","서래파출소","02-534-0116","06549","","서울특별시 서초구 신반포로16길 15-14 (반포동)","서울특별시","서초구","반포2동"
"BE_LiST32-0209","1334765","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 영등포역파출소","영등포역파출소","02-2678-3058","07306","","서울특별시 영등포구 경인로102길 13 (영등포동)","서울특별시","영등포구","영등포본동"
"BE_LiST32-0210","1332350","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울영등포경찰서 중앙지구대","중앙지구대","02-2678-4554","07302","","서울특별시 영등포구 영등포46길 14","서울특별시","영등포구","당산1동"
"BE_LiST32-0211","1329352","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서","서울용산경찰서","182","04314","","서울특별시 용산구 원효로89길 24 (원효로1가)","서울특별시","용산구","청파동"
"BE_LiST32-0212","1334748","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 보광파출소","보광파출소","02-2198-0142","04394","","서울특별시 용산구 보광로 27 (보광동)","서울특별시","용산구","보광동"
"BE_LiST32-0213","1334746","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 용산역파출소","용산역파출소","02-2198-0150","04378","","서울특별시 용산구 한강대로23길 30 (한강로2가)","서울특별시","용산구","한강로동"
"BE_LiST32-0214","1331403","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 용중지구대","용중지구대","02-2198-0116","04331","","서울특별시 용산구 후암로16나길 17 (후암동)","서울특별시","용산구","후암동"
"BE_LiST32-0215","1331401","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 원효지구대","원효지구대","02-2198-0191","04316","","서울특별시 용산구 백범로 329 (원효로1가)","서울특별시","용산구","원효로1동"
"BE_LiST32-0216","1334747","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 이촌파출소","이촌파출소","02-2198-0165","04422","","서울특별시 용산구 이촌로 219 (이촌동)","서울특별시","용산구","이촌1동"
"BE_LiST32-0217","1335512","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 이태원파출소","이태원파출소","02-2198-0125","04406","","서울특별시 용산구 이태원로 184 (이태원동)","서울특별시","용산구","이태원1동"
"BE_LiST32-0218","1334745","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 한강로파출소","한강로파출소","02-2198-0158","04385","","서울특별시 용산구 서빙고로 67 (용산동5가 파크타워아파트)","서울특별시","용산구","한강로동"
"BE_LiST32-0219","1335513","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울용산경찰서 한남파출소","한남파출소","02-2198-0134","04410","","서울특별시 용산구 대사관로34길 49 (한남동)","서울특별시","용산구","한남동"
